Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Two-Fold Small Organizer Wallet - 1166,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/abstract-leopard/products/two-fold-small-organizer-wallet-1166-abl,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Dreamscape Urbanite,An elephant with a lotus 🐘,Retro Muse,A guardian dog 🐕,Celestial Wings,A mystical owl 🦉,Angel Aura
Coin Pouch - 1031,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/abstract-leopard/products/leather-coin-pouch-1031-abl,"If your personality was a painting, it would be:",Bold and expressive abstract,Savannah Spirit,Geometric and structured mosaic,Metamorph Muse,Free,Wolf Moon,Delicate and detailed paisley,Gentle Guardian
4 in 1 Organizer Crossbody - 711,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/abstract-leopard/products/leather-4-in-1-organizer-crossbody-711-abl,Which scenery feels most calming to you?,A blooming spring garden 🌷,Gentle Guardian,A field of wild roses under sunset 🌹,Crimson Blossom,A misty meadow with dew,Metamorph Muse,A vintage botanical greenhouse 🌼,Ocean Mist
Satchel With Crossbody Strap - 708,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/abstract-leopard/products/leather-satchel-with-crossbody-strap-708-abl,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Wolf Moon,Bold and fiery rose prints,Winged Serenity,Soft watercolor blossoms,Playful Paws,Dark romantic florals,Petal Muse
Slim Crossbody With Front Zip - 452,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/abstract-leopard/products/leather-slim-crossbody-with-front-zip-452-abl,Which scenery feels most calming to you?,A blooming spring garden 🌷,Camellia Grace,A field of wild roses under sunset 🌹,Paisley Muse,A misty meadow with dew,Petal Muse,A vintage botanical greenhouse 🌼,Retro Muse
Medium Frame Crossbody - 700,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/african-adventure/products/leather-medium-frame-crossbody-700-afr,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Earth Song,An elephant with a lotus 🐘,Angel Aura,A guardian dog 🐕,Vintage Charm,A mystical owl 🦉,Metamorph Muse
Triple Compartment Satchel - 469,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/african-adventure/products/leather-hand-painted-triple-compartment-satchel-469-afr,What quality do you value most?,Protection and care,Paisley Muse,Wisdom and calmness,Retro Muse,Playfulness and joy,Flutter Charm,Strength with compassion,Earth Song
Painted Leather Cuff - 1176,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/african-adventure/products/leather-adjustable-leather-wrist-band-1176-afr,"If you had wings, how would you use them?",To glide peacefully above nature,Tropical Breeze,To explore galaxies beyond Earth,Camellia Grace,To dance among flowers in freedom,Roaring Majesty,To transform and start anew,Camellia Grace
Medium Zip Pouch - 1107,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/african-adventure/products/leather-medium-zip-pouch-1107-afr,Which art style inspires you most?,Colorful splashes,Earth Song,Intricate mosaics,Mystic Mosaic,Bohemian patterns,Gentle Guardian,Elegant paisleys,Gentle Guardian
Triple Compartment Crossbody - 696,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/african-adventure/products/leather-hand-painted-triple-compartment-crossbody-696-afr,Which element resonates with your soul?,Air,Ocean Mist,Light,Winged Serenity,Movement,Enchanted Rose,Growth,Dreamscape Urbanite
Small Multicompartment Satchel - 7325,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/african-elephant/products/leather-small-multicompartment-satchel-7325-ael,Which wild animal do you relate to most?,Leopard,Dreamscape Urbanite,Lion,Tropical Breeze,Deer,Wolf Moon,Wolf,Boho Spirit
Crossbody Organizer - 7265,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/amazing-amazon/products/leather-crossbody-organizer-7265-ama,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Retro Muse,Bold and fiery rose prints,Boho Spirit,Soft watercolor blossoms,Celestial Wings,Dark romantic florals,Winged Serenity
Painted Leather Bag Charm K0029 - Keycharms,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/art-angel-wings/products/leather-painted-leather-bag-charm-k0029-agg,Your dream vacation spot is:,A tropical island 🏝️,Metamorph Muse,Caribbean beaches 🏖️,Flutter Charm,A quiet ocean cliff 🌊,Savannah Spirit,A deep forest retreat 🌿,Caribbean Dreamer
Large Cosmetic Pouch - 1164,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/art-angel-wings/products/leather-large-cosmetic-pouch-1164-agg,Which scenery feels most calming to you?,A blooming spring garden 🌷,Wilderness Whisper,A field of wild roses under sunset 🌹,Ethereal Bloom,A misty meadow with dew,Roaring Majesty,A vintage botanical greenhouse 🌼,Celestial Wings
Organizer Crossbody With RFID Protection - 637,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/art-angel-wings/products/leather-organizer-crossbody-with-rfid-protection-637-agg,What type of adventure excites you most?,A jungle safari 🐆,Enchanted Rose,Climbing a mountain 🏔️,Ethereal Bloom,Exploring an enchanted forest 🌲,Petal Muse,Leading an expedition 🦁,Playful Paws
